country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000_2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018
United States,Alabama,10,13363464,9600146,9223176,1712130,177322,149717,137653,171879,170984,167960,175758,187397,120113,156052,150764,161376,134408,155063,140170,170457,170479,141152
United States,Alabama,15,13363464,9474931,9129167,1712130,177279,149685,137627,171839,170938,167905,175709,187349,120082,156022,150688,161217,133777,154197,139166,168965,169067,140123
United States,Alabama,20,13363464,9345561,9018703,1712130,177144,149589,137528,171686,170763,167711,175516,187159,119990,155915,150555,160988,132767,152952,137824,166971,167103,138678
United States,Alabama,25,13363464,9241762,8983057,1712130,177038,149534,137477,171615,170692,167620,175424,187071,119948,155863,150458,160822,131855,151929,136712,165433,165599,137532
United States,Alabama,30,13363464,9097763,8727123,1712130,176807,149385,137323,171401,170439,167370,175174,186836,119821,155724,150280,160559,130751,150692,135414,163521,163817,136129
United States,Alabama,50,13363464,8662933,8146256,1712130,175289,148228,136178,169732,168609,165540,173340,185127,118877,154727,149292,159368,126741,146032,130669,156757,157130,130939
United States,Alabama,75,13363464,7888200,7196450,1712130,168587,142793,130254,160979,159097,155666,163002,175903,114143,149859,145310,154810,120069,137680,122720,145023,145479,121733
United States,Alaska,10,150737803,56550936,62957035,66998,96004,218860,203075,696930,824764,639613,165583,40210,145533,526024,75896,59532,226030,83173,794112,269184,137938,102602
United States,Alaska,15,150737803,53421612,59058116,66998,95631,217457,201131,685999,815666,634370,164508,39935,144834,524706,75193,58788,221350,80608,770264,258855,130000,99649
United States,Alaska,20,150737803,52041275,57120767,66998,93602,214537,198884,674080,805633,629979,161812,38952,143067,521428,74067,57163,219363,79321,761746,255321,127615,97979
United States,Alaska,25,150737803,51278257,56139807,66998,92510,213170,198016,668147,800937,627815,160617,38455,142364,519835,73601,56372,217976,78386,755179,252842,126506,96944
United States,Alaska,30,150737803,50000791,54686979,66998,91296,208340,193696,651659,786916,620532,158558,37921,140697,517455,72928,55412,214283,76755,739736,247787,123484,94769
United States,Alaska,50,150737803,36891040,37958493,66998,71176,156715,148418,440842,592859,506121,125147,27849,97416,391738,57789,41335,142457,54099,499171,181000,58107,59068
United States,Alaska,75,150737803,19917836,22291888,66998,27964,66790,62726,148253,252602,264359,64228,14822,53732,238047,34505,20867,48435,25413,148551,73051,21571,21001
United States,Arizona,10,29535713,2921332,1738957,3199,1570,67073,12397,16561,5560,12340,3414,5283,2841,7133,49180,6060,3961,5244,4059,12204,11394,4339
United States,Arizona,15,29535713,2590355,1584617,3199,1510,63958,12149,15693,4764,11052,3287,5117,2746,6993,49016,5946,3820,5188,4046,12098,11114,4290
United States,Arizona,20,29535713,2352164,1284313,3199,1482,59784,11774,15428,4626,10948,3241,4991,2681,6931,48940,5794,3684,5111,4017,11765,10603,4222
United States,Arizona,25,29535713,2006304,1103207,3199,1453,58096,11327,15064,4432,10746,3179,4928,2618,6850,48756,5554,3394,4942,3929,11056,9856,4131
United States,Arizona,30,29535713,1808869,1075280,3199,1411,55059,11022,14504,4095,10384,3075,4708,2507,6733,48466,5319,3204,4783,3859,10368,9457,4036
United States,Arizona,50,29535713,1172766,426649,3199,1078,22761,6782,9682,2291,7056,2135,3272,1678,5253,46051,3867,2406,3844,3138,6943,7327,3389
United States,Arizona,75,29535713,511181,167498,3199,653,8946,3548,4812,947,3534,1184,1704,762,2866,35822,1838,935,1780,1027,2386,3272,1530
United States,Arkansas,10,13769059,8138438,7614077,837271,115838,92014,78667,116773,105196,124793,118346,92398,90332,111126,87409,94156,80865,81409,75825,93136,95395,85472
United States,Arkansas,15,13769059,8023576,7529567,837271,115814,92001,78657,116751,105169,124761,118313,92367,90304,111093,87343,93975,80362,80968,75430,92602,94686,84975
United States,Arkansas,20,13769059,7906609,7425272,837271,115761,91970,78623,116688,105092,124665,118221,92285,90243,111021,87239,93755,79655,80270,74818,91819,93775,84272
United States,Arkansas,25,13769059,7824687,7391207,837271,115702,91938,78598,116648,105043,124603,118156,92234,90193,110970,87150,93580,79010,79684,74320,91176,93004,83683
United States,Arkansas,30,13769059,7696080,7153896,837271,115545,91846,78532,116520,104886,124434,117986,92089,90060,110832,87012,93306,78251,79004,73700,90369,92088,82990
United States,Arkansas,50,13769059,7327297,6617510,837271,114720,91322,78056,115720,103962,123371,116894,91156,89233,109992,86379,92220,75454,76322,71325,87059,88605,80218
United States,Arkansas,75,13769059,6650427,5738405,837271,110114,88001,74733,110323,97477,116516,109971,85950,85488,105637,83900,88846,70211,71348,66490,80290,81678,74308
United States,California,10,40961694,12864976,12017201,291913,53669,73184,66522,70751,49639,96006,149247,222348,123540,37210,34380,67414,67843,134209,107664,199987,215668,247758
United States,California,15,40961694,11937660,11559390,291913,53310,71973,65730,69914,49154,93188,147066,220606,121722,36853,34046,66296,64058,129247,103007,192974,204296,237252
United States,California,20,40961694,10937165,10993371,291913,53018,70862,64029,69000,48556,90970,143793,219062,119234,36556,33710,64527,59047,120780,92248,178414,183730,215925
United States,California,25,40961694,10254636,10772388,291913,52657,70112,62992,68045,48055,89329,141350,217545,117635,36225,33388,62655,54270,114548,86633,168819,170053,201719
United States,California,30,40961694,9842706,10576452,291913,52198,68574,61290,66689,47175,86060,136812,214408,114222,35660,32838,61050,52023,110650,83420,163422,162613,194575
United States,California,50,40961694,8030228,8279894,291913,47616,57392,48926,56933,42177,72068,116374,195057,98454,33003,30380,52544,41161,91621,65184,133149,125044,149063
United States,California,75,40961694,6285116,6367709,291913,39102,44017,36449,44464,34780,55686,88865,163686,77176,28205,25487,42984,30686,72510,48251,102596,89256,103898
United States,Colorado,10,26974269,6065690,5014474,16812,14797,56141,13867,17896,23655,10571,63098,24605,7776,23156,10924,30388,25707,10849,6627,9222,9738,33450
United States,Colorado,15,26974269,5690360,4616190,16812,14665,54386,13560,17475,23427,10336,62921,24460,7613,22985,10765,29997,24835,10484,6526,9112,9613,33155
United States,Colorado,20,26974269,5313399,4309223,16812,14558,53531,13431,17306,23242,10195,62784,24348,7529,22864,10690,29553,24154,10164,6408,8921,9415,32675
United States,Colorado,25,26974269,4997737,4144697,16812,14142,47042,12765,16803,22970,9890,62522,24195,7390,22686,10564,28769,23145,9587,6186,8695,9178,31929
United States,Colorado,30,26974269,4775318,4038547,16812,13958,44736,12435,16301,22600,9476,62213,23969,7192,22441,10407,28063,22457,9254,6077,8550,9004,31349
